code_muni,nome_adapta,ano_adapta,valor_txt,susceptibilidade,classe_original,tipo_risco,categoria
1500305,AfuÃ¡/PA,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2600401,Ãgua Preta/PE,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2501807,Bayeux/PB,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2605905,Gameleira/PE,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2607653,ItambÃ©/PE,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2608503,Lagoa de Itaenga/PE,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2511707,PilÃµezinhos/PB,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2611804,RibeirÃ£o/PE,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
3157336,Santa Cruz de Minas/MG,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2612505,Santa Cruz do Capibaribe/PE,2015,1.0,1,Muito alto,Deslizamento de terra,Muito alto
2600054,Abreu e Lima/PE,2015,0.99,0.99,Muito alto,Deslizamento de terra,Muito alto
2922755,Nova IbiÃ¡/BA,2015,0.99,0.99,Muito alto,Deslizamento de terra,Muito alto
2611903,Rio Formoso/PE,2015,0.99,0.99,Muito alto,Deslizamento de terra,Muito alto
2601409,Barreiros/PE,2015,0.98,0.98,Muito alto,Deslizamento de terra,Muito alto
2602308,Bonito/PE,2015,0.98,0.98,Muito alto,Deslizamento de terra,Muito alto
1505809,Portel/PA,2015,0.98,0.98,Muito alto,Deslizamento de terra,Muito alto
2613305,SÃ£o Joaquim do Monte/PE,2015,0.98,0.98,Muito alto,Deslizamento de terra,Muito alto
2515302,SapÃ©/PB,2015,0.98,0.98,Muito alto,Deslizamento de terra,Muito alto
2913606,IlhÃ©us/BA,2015,0.97,0.97,Muito alto,Deslizamento de terra,Muito alto
2511202,Pedras de Fogo/PB,2015,0.97,0.97,Muito alto,Deslizamento de terra,Muito alto
2604007,Carpina/PE,2015,0.96,0.96,Muito alto,Deslizamento de terra,Muito alto
1501808,Breves/PA,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
1301209,Coari/AM,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
3125309,Faria Lemos/MG,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
2608107,JoÃ£o Alfredo/PE,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
2803609,Laranjeiras/SE,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
2610004,Palmares/PE,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
2923902,Pau Brasil/BA,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
2615300,TimbaÃºba/PE,2015,0.95,0.9500000000000001,Muito alto,Deslizamento de terra,Muito alto
5201702,AragarÃ§as/GO,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
1301308,CodajÃ¡s/AM,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
2605202,Escada/PE,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
2606804,Igarassu/PE,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
2915809,ItambÃ©/BA,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
2306306,ItapajÃ©/CE,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
3139508,Manhumirim/MG,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
1504208,MarabÃ¡/PA,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
3141405,Medina/MG,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
3303203,NilÃ³polis/RJ,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
2806602,Santo Amaro das Brotas/SE,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
2616407,VitÃ³ria de Santo AntÃ£o/PE,2015,0.94,0.9400000000000001,Muito alto,Deslizamento de terra,Muito alto
3300308,Barra do PiraÃ­/RJ,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2905602,Camacan/BA,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
1301159,Careiro da VÃ¡rzea/AM,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2604601,Condado/PE,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
3515707,Ferraz de Vasconcelos/SP,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2915601,Itamaraju/BA,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
3203007,IÃºna/ES,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2918001,JequiÃ©/BA,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2508901,Mamanguape/PB,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
3146305,Padre ParaÃ­so/MG,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2610806,Pedra/PE,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2708006,Santana do Ipanema/AL,2015,0.93,0.93,Muito alto,Deslizamento de terra,Muito alto
2602803,BuÃ­que/PE,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
2603454,Camaragibe/PE,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
3111606,Campos Gerais/MG,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
